id;groups;age;active_lifestyle;salary
143;B;62;farmer;667
144;A;33;artist;1716
145;A;29;programmer;3110
146;A;46;programmer;3691
147;O;39;lawyer;3342
148;O;44;educator;2065
149;O;41;educator;2646
150;AB;49;programmer;2529
151;B;58;educator;1360
152;A;55;lawyer;3923
153;A;54;artist;2878
154;A;51;scientist;1252
155;O;34;executive;1950
156;O;19;educator;2065
157;O;51;artist;3460
158;AB;44;executive;1950
159;B;30;educator;3228
160;A;32;artist;1716
161;A;52;educator;779
162;A;33;educator;3228
163;O;25;educator;3228
164;O;36;executive;894
165;O;27;lawyer;3923
166;AB;59;doctor;2182
167;B;38;doctor;662
168;A;54;artist;4041
169;A;58;artist;2297
170;A;63;farmer;2993
171;O;50;educator;902
172;O;32;educator;779
173;O;58;artist;4622
174;AB;21;educator;902
175;B;39;educator;902
176;A;21;educator;2646
177;A;31;executive;1475
178;A;44;educator;902
179;O;49;executive;2532
180;O;35;educator;902
181;O;30;doctor;2764
182;AB;49;artist;4041
183;B;61;scientist;1252
184;A;31;educator;2065
185;A;38;artist;4041
186;A;22;artist;2297
187;O;23;doctor;662
188;O;48;educator;3809
189;O;34;educator;1484
190;AB;33;doctor;2182
191;B;43;artist;3460
192;A;43;educator;902
193;A;36;artist;1716
194;A;34;artist;1716
195;O;56;scientist;1833
196;O;18;programmer;1366
197;O;51;educator;3809
198;AB;34;educator;902
199;B;50;lawyer;2179
200;A;18;artist;1716
201;A;44;doctor;2764
202;A;46;lawyer;2761
203;O;35;doctor;4508
204;O;55;doctor;2764
205;O;31;educator;902
206;AB;20;farmer;3574
207;B;58;educator;4390
208;A;23;lawyer;5086
209;A;37;scientist;2414
210;A;39;educator;1484
211;O;22;doctor;3345
212;O;22;farmer;5318
213;O;50;educator;2646
214;AB;25;engineer;2062
215;B;61;executive;3694
216;A;18;doctor;1020
217;A;53;doctor;1020
218;A;37;programmer;1478
219;O;38;doctor;1601
220;O;50;programmer;1948
221;O;59;farmer;2993
222;AB;23;programmer;1366
223;B;32;educator;3228
224;A;40;executive;3113
225;A;47;artist;1716
226;A;26;educator;902
227;O;24;lawyer;2761
228;O;54;educator;3228
229;O;41;scientist;2414
230;AB;58;scientist;1011
231;B;50;scientist;2996
232;A;29;scientist;670
233;A;55;programmer;1366
234;A;64;artist;2297
235;O;23;artist;1716
236;O;55;educator;2065
237;O;49;programmer;1948
238;AB;40;executive;1475
239;B;50;educator;3228
240;A;63;doctor;1824
241;A;43;lawyer;1598
242;A;48;engineer;2643
243;O;30;lawyer;1598
244;O;63;executive;788
245;O;64;educator;2646
246;AB;59;farmer;667
247;B;33;lawyer;1598
248;A;62;lawyer;2179
249;A;60;scientist;670
250;A;60;lawyer;2761
251;O;35;educator;3809
252;O;24;lawyer;2761
253;O;29;educator;1484
254;AB;18;artist;1716
255;B;25;lawyer;3923
256;A;57;artist;1716
257;A;28;farmer;3574
258;A;44;farmer;3574
259;O;53;educator;2646
260;O;63;doctor;2182
261;O;44;artist;1716
262;AB;58;executive;1369
263;B;20;executive;894
264;A;24;engineer;2062
265;A;25;educator;2065
266;A;46;educator;3809
267;O;57;lawyer;2179
268;O;57;scientist;1252
269;O;36;lawyer;3923
270;AB;51;programmer;5435
271;B;59;programmer;1366
272;A;21;educator;2646
273;A;41;programmer;4854
274;A;33;lawyer;5086
275;O;57;educator;3228
276;O;47;educator;902
277;O;41;scientist;1833
278;AB;58;executive;1369
279;B;50;executive;788
280;A;54;programmer;3110
281;A;52;educator;2065
282;A;54;farmer;3574
283;O;35;lawyer;3923
284;O;18;programmer;785
285;O;45;doctor;2182
286;AB;58;scientist;2414
287;B;25;engineer;2643
288;A;19;artist;2297
289;A;27;programmer;1948
290;A;43;educator;2646
291;O;23;programmer;3110
292;O;39;scientist;1252
293;O;41;educator;4390
294;AB;37;artist;4041
295;B;52;writer;1707
296;A;52;programmer;1948
297;A;44;engineer;2643
298;A;33;executive;2056
299;O;43;doctor;1020
300;O;19;programmer;2529
301;O;21;programmer;2529
302;AB;37;artist;1716
303;B;46;scientist;670
304;A;50;scientist;1252
305;A;37;educator;902
306;A;30;doctor;1601
307;O;37;artist;1716
308;O;49;programmer;3110
309;O;19;scientist;2414
310;AB;42;scientist;4158
311;B;62;writer;1126
312;A;42;lawyer;4505
313;A;21;executive;1369
314;A;25;programmer;896
315;O;33;lawyer;1598
316;O;20;lawyer;2179
317;O;59;scientist;2996
318;AB;62;doctor;1020
319;B;22;lawyer;2761
320;A;40;executive;3113
321;A;50;educator;3228
322;A;62;doctor;662
323;O;33;executive;1369
324;O;23;doctor;3345
325;O;51;scientist;1833
326;AB;36;executive;1369
327;B;61;artist;1716
328;A;60;scientist;1252
329;A;56;scientist;1011
330;A;58;educator;2646
331;O;20;artist;1710
332;O;60;programmer;3110
333;O;46;scientist;1252
334;AB;55;scientist;1252
335;B;61;artist;4622
336;A;28;artist;2878
337;A;44;programmer;4273
338;A;54;scientist;1833
339;O;35;executive;4276
340;O;62;artist;1710
341;O;28;programmer;3691
342;AB;42;scientist;1252
343;B;53;artist;553
344;A;25;scientist;1833
345;A;57;lawyer;2761
346;A;60;doctor;1601
347;O;34;artist;1134
348;O;19;educator;2065
349;O;49;artist;3460
350;AB;35;educator;2065
351;B;55;0;3457
352;A;63;artist;1134
353;A;46;scientist;2996
354;A;55;educator;2065
355;O;29;artist;1134
356;O;28;programmer;1948
357;O;46;scientist;1592
358;AB;58;educator;3228
359;B;28;educator;902
360;A;31;scientist;1252
361;A;56;lawyer;2761
362;A;43;writer;1137
363;O;26;lawyer;2179
364;O;46;programmer;896
365;O;41;scientist;1833
366;AB;50;scientist;1833
367;B;58;lawyer;2179
368;A;56;artist;2297
369;A;49;educator;3228
370;A;20;educator;3809
371;O;31;programmer;785
372;O;61;writer;1137
373;O;54;artist;2878
374;AB;23;doctor;2764
375;B;53;scientist;1833
376;A;62;educator;902
377;A;47;doctor;662
378;A;43;lawyer;1017
379;O;30;artist;1716
380;O;36;lawyer;3923
381;O;48;artist;2878
382;AB;61;scientist;2414
383;B;45;executive;894
384;A;33;scientist;1252
385;A;31;scientist;1833
386;A;20;artist;1134
387;O;55;artist;2297
388;O;24;artist;2878
389;O;46;artist;2878
390;AB;52;engineer;4387
391;B;56;scientist;670
392;A;62;scientist;1252
393;A;58;educator;779
394;A;42;scientist;2414
395;O;53;lawyer;3923
396;O;18;executive;3113
397;O;62;scientist;3577
398;AB;38;programmer;3110
399;B;60;artist;1134
400;A;49;doctor;2764
401;A;18;doctor;1601
402;A;28;artist;2878
403;O;22;scientist;2414
404;O;27;artist;3460
405;O;42;artist;1134
406;AB;31;artist;2878
407;B;19;farmer;3574
408;A;25;artist;553
409;A;18;doctor;1020
410;A;34;lawyer;1598
411;O;44;doctor;2182
412;O;42;lawyer;3923
413;O;46;doctor;2182
414;AB;35;doctor;1601
415;B;53;writer;2288
416;A;30;artist;553
417;A;60;lawyer;2179
418;A;22;lawyer;1598
419;O;58;executive;1950
420;O;47;programmer;2529
421;O;33;educator;902
422;AB;64;scientist;1252
423;B;47;artist;553
424;A;56;0;2294
425;A;30;educator;902
426;A;43;doctor;3345
427;O;32;programmer;3691
428;O;31;educator;2065
429;O;48;scientist;2414
430;AB;23;lawyer;2179
431;B;21;educator;1484
432;A;51;executive;788
433;A;18;programmer;3110
434;A;34;programmer;2529
435;O;41;artist;3460
436;O;24;educator;902
437;O;51;scientist;2414
438;AB;56;artist;1716
439;B;56;scientist;1252
440;A;46;artist;1134
441;A;24;farmer;1249
442;A;63;farmer;2993
443;O;64;doctor;2182
444;O;45;doctor;1824
445;O;57;artist;1716
446;AB;36;scientist;2414
447;B;54;programmer;1366
448;A;61;artist;553
449;A;50;scientist;2414
450;A;28;scientist;2414
451;O;62;lawyer;3923
452;O;24;scientist;1833
453;O;53;lawyer;3342
454;AB;30;lawyer;1017
455;B;29;doctor;1601
456;A;18;executive;3113
457;A;58;engineer;1481
458;A;55;programmer;1478
459;O;32;lawyer;3342
460;O;60;executive;1369
461;O;22;educator;902
462;AB;27;artist;1716
463;B;39;scientist;2414
464;A;23;scientist;1011
465;A;21;educator;2646
466;A;51;educator;3228
467;O;34;artist;2878
468;O;35;artist;553
469;O;54;artist;2297
470;AB;63;scientist;670
471;B;39;artist;1134
472;A;19;educator;3228
473;A;59;scientist;1833
474;A;38;artist;2297
475;O;18;educator;3809
476;O;49;scientist;1592
477;O;26;educator;3809
478;AB;56;programmer;3110
479;B;52;artist;1134
480;A;23;programmer;1948
481;A;48;educator;2646
482;A;21;artist;4041
483;O;45;educator;902
484;O;32;farmer;3574
485;O;19;lawyer;2179
486;AB;31;programmer;785
487;B;58;engineer;2062
488;A;35;doctor;3345
489;A;34;programmer;1366
490;A;24;engineer;4387
491;O;54;educator;3809
492;O;44;executive;1950
493;O;59;educator;902
494;AB;61;programmer;3691
495;B;33;scientist;2996
496;A;47;farmer;2411
497;A;50;scientist;1252
498;A;35;doctor;2182
499;O;62;doctor;2182
500;O;38;lawyer;3923
501;O;45;educator;3228
502;AB;21;educator;3228
503;B;29;educator;3228
504;A;42;programmer;2529
505;A;47;artist;2297
506;A;53;doctor;1243
507;O;42;farmer;2411
508;O;64;scientist;670
509;O;29;engineer;2643
510;AB;22;doctor;3345
511;B;23;lawyer;2179
512;A;48;educator;1484
513;A;37;programmer;1478
514;A;30;0;4038
515;O;23;farmer;2411
516;O;32;doctor;3345
517;O;34;scientist;670
518;AB;41;doctor;3345
519;B;21;artist;1716
520;A;57;educator;3228
521;A;42;programmer;3691
522;A;51;programmer;785
523;O;43;scientist;3577
524;O;47;artist;1716
525;O;33;educator;4390
526;AB;40;educator;4972
527;B;43;scientist;670
528;A;62;educator;902
529;A;22;executive;1475
530;A;19;educator;2065
531;O;34;scientist;2996
532;O;30;lawyer;3923
533;O;19;programmer;2529
534;AB;63;writer;1137
535;B;24;programmer;3691
536;A;48;scientist;1252
537;A;53;artist;3460
538;A;53;scientist;3577
539;O;58;lawyer;2761
540;O;55;artist;1128
541;O;50;doctor;1020
542;AB;37;doctor;1020
543;B;27;educator;2646
544;A;51;scientist;1252
545;A;27;artist;2297
546;A;22;artist;1134
547;O;18;scientist;3577
548;O;44;executive;1369
549;O;62;educator;2646
550;AB;49;educator;1484
551;B;43;programmer;2529
552;A;22;educator;2646
553;A;27;artist;1134
554;A;22;writer;1126
555;O;55;scientist;1252
556;O;27;programmer;1366
557;O;30;artist;2297
558;AB;46;doctor;2182
559;B;18;educator;2646
560;A;57;artist;4041
561;A;29;educator;2065
562;A;19;engineer;3806
563;O;35;educator;2065
564;O;44;scientist;1252
565;O;38;programmer;2529
566;AB;37;writer;1718
567;B;39;educator;3809
568;A;47;artist;1716
569;A;42;farmer;3574
570;A;52;artist;2297
571;O;28;lawyer;1598
572;O;33;scientist;2174
573;O;20;artist;2297
574;AB;23;artist;553
575;B;21;lawyer;1598
576;A;33;artist;2878
577;A;28;educator;1484
578;A;18;lawyer;1017
579;O;54;executive;788
580;O;50;artist;2878
581;O;50;engineer;3225
582;AB;48;doctor;1020
583;B;34;artist;2878
584;A;37;scientist;3577
585;A;27;doctor;1020
586;A;22;writer;2881
587;O;51;executive;788
588;O;26;artist;1716
589;O;30;lawyer;4505
590;AB;45;artist;2878
591;B;58;educator;779
592;A;55;programmer;1948
593;A;24;educator;3228
594;A;62;educator;3228
595;O;45;educator;2065
596;O;51;educator;3228
597;O;49;scientist;1833
598;AB;64;educator;2065
599;B;55;programmer;1948
600;A;20;educator;1484
601;A;20;educator;1484
602;A;31;educator;2065
603;O;23;educator;3228
604;O;31;educator;2065
605;O;28;artist;1128
606;AB;51;scientist;2174
607;B;44;engineer;5550
608;A;30;programmer;1366
609;A;63;scientist;3577
610;A;45;educator;902
611;O;43;artist;553
612;O;53;executive;1475
613;O;42;artist;1134
614;AB;62;0;4038
615;B;54;doctor;1601
616;A;46;scientist;1252
617;A;25;scientist;1252
618;A;62;executive;1369
619;O;30;doctor;1020
620;O;32;artist;1716
621;O;30;educator;1484
622;AB;51;scientist;1833
623;B;46;artist;1134
624;A;34;farmer;2411
625;A;37;doctor;2406
626;A;59;lawyer;1598
627;O;51;scientist;1011
628;O;29;artist;1134
629;O;38;programmer;1948
630;AB;57;0;2875
631;B;38;lawyer;3923
632;A;31;artist;1716
633;A;31;scientist;2996
634;A;32;artist;4041
635;O;34;doctor;1243
636;O;41;educator;3228
637;O;54;executive;3113
638;AB;58;executive;1369
639;B;19;programmer;785
640;A;54;artist;1710
641;A;44;doctor;1020
642;A;42;educator;2646
643;O;37;scientist;2414
644;O;42;scientist;1011
645;O;29;educator;2646
646;AB;41;scientist;2996
647;B;40;artist;1128
648;A;43;programmer;4273
649;A;58;lawyer;2179
650;A;60;programmer;785
651;O;30;educator;1942
652;O;62;lawyer;3923
653;O;55;educator;902
654;AB;19;scientist;1252
655;B;52;farmer;2411
656;A;40;0;4038
657;A;20;educator;779
658;A;26;programmer;2529
659;O;29;lawyer;3342
660;O;51;scientist;2996
661;O;38;engineer;2643
662;AB;59;artist;4622
663;B;55;programmer;1948
664;A;48;scientist;2414
665;A;53;programmer;785
666;A;57;artist;2297
667;O;25;educator;3809
668;O;28;educator;902
669;O;62;doctor;2764
670;AB;37;educator;4972
671;B;37;scientist;3577
672;A;50;scientist;1833
673;A;49;educator;3228
674;A;46;programmer;4273
675;O;52;scientist;1833
676;O;30;artist;1134
677;O;50;scientist;2996
678;AB;51;doctor;1601
679;B;50;educator;2065
680;A;41;scientist;1833
681;A;30;executive;1369
682;A;34;lawyer;1017
683;O;22;programmer;1948
684;O;19;farmer;2993
685;O;62;scientist;670
686;AB;29;lawyer;2179
687;B;33;educator;2646
688;A;19;educator;2646
689;A;40;artist;3460
690;A;44;artist;1134
691;O;61;doctor;1020
692;O;28;educator;902
693;O;60;executive;1369
694;AB;34;scientist;1252
695;B;45;educator;2646
696;A;62;artist;2297
697;A;32;executive;1950
698;A;48;educator;902
699;O;41;educator;779
700;O;29;programmer;1366
701;O;64;artist;2878
702;AB;30;educator;2065
703;B;61;scientist;1833
704;A;57;engineer;2643
705;A;26;artist;2297
706;A;64;lawyer;1017
707;O;25;lawyer;3923
708;O;26;programmer;2529
709;O;42;programmer;785
710;AB;61;educator;3228
711;B;25;programmer;2529
712;A;28;programmer;1948
713;A;23;scientist;2414
714;A;52;artist;4041
715;O;46;doctor;1601
716;O;54;educator;3228
717;O;63;lawyer;665
718;AB;32;educator;2065
719;B;54;scientist;670
720;A;50;doctor;1601
721;A;62;artist;553
722;A;36;executive;1369
723;O;33;artist;2297
724;O;32;artist;3460
725;O;60;executive;1369
726;AB;26;engineer;2643
727;B;54;scientist;670
728;A;51;doctor;1243
729;A;46;doctor;1601
730;A;49;writer;2300
731;O;48;doctor;1243
732;O;28;programmer;3110
733;O;36;scientist;1833
734;AB;33;doctor;3345
735;B;37;scientist;2996
736;A;28;lawyer;3342
737;A;22;programmer;4273
738;A;24;executive;1369
739;O;27;educator;2646
740;O;20;artist;4041
741;O;40;educator;2065
742;AB;33;programmer;4854
743;B;53;programmer;2529
744;A;63;scientist;1833
745;A;33;educator;902
746;A;38;educator;2646
747;O;28;lawyer;2761
748;O;52;educator;1360
749;O;56;doctor;2764
750;AB;35;scientist;2414
751;B;35;doctor;662
752;A;48;scientist;2996
753;A;41;scientist;1833
754;A;21;artist;2297
755;O;39;artist;2878
756;O;47;scientist;670
757;O;35;executive;1950
758;AB;41;executive;788
759;B;41;scientist;2174
760;A;57;scientist;2996
761;A;21;programmer;785
762;A;24;artist;2297
763;O;49;writer;1718
764;O;53;artist;1716
765;O;52;programmer;3691
766;AB;60;scientist;1252
767;B;25;educator;2065
768;A;49;doctor;1020
769;A;39;programmer;2529
770;A;23;artist;4041
771;O;37;executive;2532
772;O;31;doctor;1601
773;O;29;doctor;3345
774;AB;61;educator;902
775;B;52;executive;1950
776;A;34;scientist;1833
777;A;26;educator;1360
778;A;20;educator;902
779;O;59;scientist;1252
780;O;35;lawyer;3923
781;O;37;educator;2646
782;AB;18;scientist;1833
783;B;35;executive;1369
784;A;60;scientist;1252
785;A;31;programmer;1366
786;A;25;programmer;1366
787;O;39;scientist;1833
788;O;50;scientist;2414
789;O;40;educator;779
790;AB;58;doctor;3345
791;B;18;lawyer;3923
792;A;40;educator;2646
793;A;40;educator;1484
794;A;42;educator;2065
795;O;42;artist;2878
796;O;25;artist;2878
797;O;53;doctor;2182
798;AB;40;scientist;2414
799;B;62;lawyer;3923
800;A;35;programmer;4273
801;A;62;educator;1484
802;A;38;educator;2065
803;O;50;doctor;3345
804;O;51;artist;3460
805;O;28;educator;2646
806;AB;58;educator;2646
807;B;18;lawyer;4505
808;A;44;educator;2065
809;A;37;doctor;3345
810;A;51;educator;2065
811;O;27;doctor;1020
812;O;50;educator;779
813;O;62;programmer;3110
814;AB;36;educator;1484
815;B;33;programmer;3691
816;A;60;educator;902
817;A;35;educator;2065
818;A;45;doctor;3345
819;O;61;scientist;2414
820;O;60;scientist;2414
821;O;46;lawyer;3342
822;AB;61;artist;4041
823;B;34;artist;3460
824;A;28;doctor;1243
825;A;47;lawyer;2761
826;A;32;executive;788
827;O;27;programmer;1366
828;O;28;executive;1369
829;O;51;educator;2646
830;AB;62;writer;2300
831;B;41;programmer;1478
832;A;47;doctor;1020
833;A;52;doctor;3345
834;A;61;educator;3228
835;O;39;artist;3460
836;O;41;engineer;2643
837;O;40;doctor;1020
838;AB;63;scientist;1252
839;B;27;artist;2297
840;A;31;doctor;2182
841;A;33;educator;2646
842;A;61;scientist;1252
843;O;41;educator;2065
844;O;18;artist;1128
845;O;46;executive;894
846;AB;32;executive;894
847;B;32;scientist;4158
848;A;58;scientist;1833
849;A;59;doctor;2764
850;A;45;doctor;1020
851;O;36;engineer;2643
852;O;42;artist;1134
853;O;54;artist;1134
854;AB;26;lawyer;4505
855;B;35;scientist;4158
856;A;22;lawyer;3342
857;A;43;artist;1134
858;A;44;artist;1134
859;O;41;doctor;662
860;O;30;farmer;2993
861;O;33;doctor;1601
862;AB;63;scientist;2414
863;B;47;executive;1950
864;A;22;farmer;2993
865;A;48;artist;1716
866;A;57;educator;2646
867;O;55;scientist;1833
868;O;47;lawyer;1598
869;O;42;programmer;2529
870;AB;40;programmer;1948
871;B;21;lawyer;2761
872;A;19;programmer;1948
873;A;18;lawyer;1246
874;A;36;farmer;1249
875;O;48;educator;779
876;O;42;farmer;3574
877;O;30;doctor;662
878;AB;32;scientist;1592
879;B;30;farmer;3574
880;A;30;programmer;5435
881;A;44;artist;2878
882;A;30;programmer;785
883;O;47;doctor;3345
884;O;28;educator;1484
885;O;33;educator;3228
886;AB;34;artist;3460
887;B;26;doctor;1243
888;A;39;doctor;662
889;A;25;educator;2646
890;A;44;executive;1950
891;O;55;educator;1484
892;O;18;educator;1360
893;O;49;scientist;2414
894;AB;57;artist;1716
895;B;30;artist;4622
896;A;33;lawyer;2761
897;A;59;programmer;2529
898;A;48;executive;2056
899;O;42;executive;2532
900;O;39;educator;2646
901;O;50;lawyer;3923
902;AB;31;lawyer;1017
903;B;28;scientist;3577
904;A;56;artist;2878
905;A;46;scientist;3577
906;A;38;programmer;1366
907;O;35;scientist;1252
908;O;25;artist;553
909;O;35;educator;902
910;AB;21;artist;553
911;B;59;educator;2646
912;A;24;lawyer;2761
913;A;64;artist;2878
914;A;19;engineer;3225
915;O;45;educator;4390
916;O;19;educator;1484
917;O;38;scientist;1252
918;AB;25;educator;4390
919;B;26;educator;1484
920;A;64;programmer;2529
921;A;43;scientist;670
922;A;22;programmer;1948
923;O;32;educator;3228
924;O;57;doctor;662
925;O;57;scientist;1011
926;AB;34;lawyer;2179
927;B;56;artist;553
928;A;44;educator;2646
929;A;26;doctor;2764
930;A;58;educator;1484
931;O;39;artist;2878
932;O;25;educator;2646
933;O;59;programmer;3691
934;AB;24;doctor;3345
935;B;48;scientist;2414
936;A;49;scientist;1252
937;A;25;educator;3228
938;A;26;programmer;785
939;O;54;scientist;2414
940;O;24;scientist;2414
941;O;54;programmer;3691
942;AB;41;lawyer;3342
943;B;54;doctor;662
944;A;46;doctor;1243
945;A;56;scientist;1833
946;A;18;educator;779
947;O;26;programmer;5435
948;O;31;artist;2878
949;O;55;educator;1484
950;AB;45;executive;788
951;B;59;scientist;2996
952;A;36;artist;1716
953;A;19;doctor;4508
954;A;60;educator;3809
955;O;31;scientist;1833
956;O;23;farmer;3574
957;O;39;programmer;2529
958;AB;55;scientist;1011
959;B;29;0;4038
960;A;57;educator;779
961;A;38;lawyer;1598
962;A;46;artist;3460
963;O;54;lawyer;2179
964;O;61;educator;2065
965;O;43;doctor;2764
966;AB;32;artist;4041
967;B;62;scientist;1252
968;A;39;educator;1484
969;A;45;scientist;1252
970;A;36;doctor;1020
971;O;33;doctor;1243
972;O;56;lawyer;3342
973;O;47;educator;902
974;AB;64;artist;5204
975;B;43;educator;1484
976;A;20;programmer;3110
977;A;59;educator;779
978;A;61;educator;902
979;O;18;doctor;2764
980;O;58;artist;2297
981;O;31;executive;1369
982;AB;50;artist;4622
983;B;29;educator;2065
984;A;32;executive;894
985;A;52;lawyer;2179
986;A;27;scientist;2414
987;O;50;artist;2297
988;O;60;educator;1484
989;O;44;artist;1134
990;AB;20;programmer;1366
991;B;38;educator;3809
992;A;30;lawyer;3342
993;A;56;artist;2297
994;A;52;scientist;1833
995;O;33;scientist;2996
996;O;21;farmer;667
997;O;49;scientist;4158
998;AB;56;scientist;2414
999;B;64;executive;788
